"","V1","V2","V3","V4","V5","V6","V7"
"1",NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA
"8",0,0,0,0,1,0,0
"9",0,0,0,0,1,0,0
"10",0,0,0,0,1,0,0
"11",0,0,0,0,1,0,0
"12",0,0,0,0,1,0,0
"13",0,0,0,0,1,0,0
"14",0,0,0,0,1,0,0
"15",0,0,0,0,1,0,0
"16",0,0,0,0,1,0,0
"17",0,0,0,0,1,0,0
"18",0,0,0,0,1,0,0
"19",0,0,0,0,1,0,0
"20",0,0,0,0,1,0,0
"21",0,0,0,0,1,0,0
"22",0,0,0,0,1,0,0
"23",NA,NA,NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA,NA,NA
"25",NA,NA,NA,NA,NA,NA,NA
"26",NA,NA,NA,NA,NA,NA,NA
"27",NA,NA,NA,NA,NA,NA,NA
"28",NA,NA,NA,NA,NA,NA,NA
"29",NA,NA,NA,NA,NA,NA,NA
"30",NA,NA,NA,NA,NA,NA,NA
"31",NA,NA,NA,NA,NA,NA,NA
"32",NA,NA,NA,NA,NA,NA,NA
"33",NA,NA,NA,NA,NA,NA,NA
"34",NA,NA,NA,NA,NA,NA,NA
"35",NA,NA,NA,NA,NA,NA,NA
"36",NA,NA,NA,NA,NA,NA,NA
"37",NA,NA,NA,NA,NA,NA,NA
"38",NA,NA,NA,NA,NA,NA,NA
"39",NA,NA,NA,NA,NA,NA,NA
"40",NA,NA,NA,NA,NA,NA,NA
"41",NA,NA,NA,NA,NA,NA,NA
"42",NA,NA,NA,NA,NA,NA,NA
"43",NA,NA,NA,NA,NA,NA,NA
"44",NA,NA,NA,NA,NA,NA,NA
"45",NA,NA,NA,NA,NA,NA,NA
"46",NA,NA,NA,NA,NA,NA,NA
"47",NA,NA,NA,NA,NA,NA,NA
"48",NA,NA,NA,NA,NA,NA,NA
"49",NA,NA,NA,NA,NA,NA,NA
"50",NA,NA,NA,NA,NA,NA,NA
"51",NA,NA,NA,NA,NA,NA,NA
"52",NA,NA,NA,NA,NA,NA,NA
"53",NA,NA,NA,NA,NA,NA,NA
"54",0,0,0,1,0,0,0
"55",0,0,0,1,0,0,0
"56",0,0,0,1,0,0,0
"57",0,0,0,1,0,0,0
"58",0,0,0,1,0,0,0
"59",0,0,0,1,0,0,0
"60",0,0,0,0,0,0,1
"61",0,0,0,0,0,0,1
"62",0,0,0,0,0,0,1
"63",0,0,0,0,0,0,1
"64",0,0,0,0,0,0,1
"65",0,0,0,0,0,0,1
"66",0,0,0,0,0,0,1
"67",0,0,0,0,0,0,1
"68",0,0,0,0,0,0,1
"69",0,0,0,0,0,0,1
"70",0,0,0,0,0,0,1
"71",0,0,0,0,0,0,1
"72",0,0,0,0,0,0,1
"73",0,0,0,0,0,0,1
"74",0,0,0,0,0,0,1
"75",0,0,0,0,0,0,1
"76",0,0,0,0,0,0,1
"77",0,0,0,0,0,0,1
"78",0,0,0,0,0,0,1
"79",0,0,0,0,0,0,1
"80",0,0,0,0,0,0,1
"81",0,0,0,0,0,0,1
"82",0,0,0,0,0,0,1
"83",0,0,0,0,0,0,1
"84",0,0,0,0,0,0,1
"85",0,0,0,0,0,0,1
"86",0,0,0,0,0,0,1
"87",0,0,0,0,0,0,1
"88",0,0,0,0,0,0,1
"89",0,0,0,0,0,0,1
"90",0,0,0,0,0,0,1
"91",0,0,0,0,0,0,1
"92",0,0,0,0,0,0,1
"93",0,0,0,0,0,0,1
"94",0,0,0,0,0,0,1
"95",0,0,0,0,0,0,1
"96",0,0,0,0,0,0,1
"97",0,0,0,0,0,0,1
"98",0,0,0,0,0,0,1
"99",0,0,0,0,0,0,1
"100",0,0,0,0,0,0,1
"101",0,0,0,0,0,0,1
